dataset,source_file,object_id,quarter,time,flux,flux_err,quality,flux_norm,is_anomaly
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.5391465105713,501466.84375,20.57497215270996,0.0,-2.7723893371109116,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.5391465105713,501466.84375,20.57497215270996,0.0,-2.7723893371109116,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.55958073025249,501412.125,20.59782600402832,0.0,-2.7764368316572408,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.55958073025249,501412.125,20.59782600402832,0.0,-2.7764368316572408,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.58001484981651,501402.8125,20.634075164794922,0.0,-2.777125668536056,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.58001484981651,501402.8125,20.634075164794922,0.0,-2.777125668536056,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.60044916937477,501359.71875,20.607728958129883,0.0,-2.7803132727504414,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.60044916937477,501359.71875,20.607728958129883,0.0,-2.7803132727504414,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.62088338893955,501447.59375,20.585588455200195,0.0,-2.7738132415315504,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.62088338893955,501447.59375,20.585588455200195,0.0,-2.7738132415315504,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.64131750838715,501424.21875,20.62250328063965,0.0,-2.775542268328041,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.64131750838715,501424.21875,20.62250328063965,0.0,-2.775542268328041,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.66175172782823,501346.125,20.596803665161133,0.0,-2.78131878967086,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.66175172782823,501346.125,20.596803665161133,0.0,-2.78131878967086,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.68218604727736,501369.28125,20.572751998901367,0.0,-2.7796059436064224,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.68218604727736,501369.28125,20.572751998901367,0.0,-2.7796059436064224,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.70262016672496,501402.125,20.61715316772461,0.0,-2.777176522265365,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.70262016672496,501402.125,20.61715316772461,0.0,-2.777176522265365,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.72305438616604,501478.59375,20.64872169494629,0.0,-2.771520200646366,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.72305438616604,501478.59375,20.64872169494629,0.0,-2.771520200646366,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.74348870549875,501461.625,20.63766860961914,0.0,-2.7727753631470264,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.74348870549875,501461.625,20.63766860961914,0.0,-2.7727753631470264,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.76392282482993,501418.90625,20.651046752929688,0.0,-2.775935228963607,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.76392282482993,501418.90625,20.651046752929688,0.0,-2.775935228963607,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.7843570441546,501499.6875,20.6339168548584,0.0,-2.769959915769854,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.7843570441546,501499.6875,20.6339168548584,0.0,-2.769959915769854,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.80479126348655,501487.5625,20.63558006286621,0.0,-2.7708567906322044,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.80479126348655,501487.5625,20.63558006286621,0.0,-2.7708567906322044,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.82522548270208,501472.96875,20.593168258666992,0.0,-2.7719362766134354,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.82522548270208,501472.96875,20.593168258666992,0.0,-2.7719362766134354,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.84565970191034,501500.625,20.65498924255371,0.0,-2.769890569775342,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.84565970191034,501500.625,20.65498924255371,0.0,-2.769890569775342,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.86609392112587,501464.25,20.662973403930664,0.0,-2.772581194362394,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.86609392112587,501464.25,20.662973403930664,0.0,-2.772581194362394,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.88652824022574,501452.46875,20.66316795349121,0.0,-2.77345264236009,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.88652824022574,501452.46875,20.66316795349121,0.0,-2.77345264236009,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.90696235943324,501479.4375,20.64138412475586,8192.0,-2.7714577892513055,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.90696235943324,501479.4375,20.64138412475586,8192.0,-2.7714577892513055,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.92739657853235,501485.875,20.643707275390625,0.0,-2.7709816134223253,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.92739657853235,501485.875,20.643707275390625,0.0,-2.7709816134223253,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.94783089762495,501494.3125,20.63245964050293,0.0,-2.7703574994717206,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.94783089762495,501494.3125,20.63245964050293,0.0,-2.7703574994717206,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.96826501660689,501487.15625,20.65629768371582,0.0,-2.7708868405631595,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.96826501660689,501487.15625,20.65629768371582,0.0,-2.7708868405631595,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.98869923570601,501508.59375,20.63996696472168,8192.0,-2.7693011288219935,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,120.98869923570601,501508.59375,20.63996696472168,8192.0,-2.7693011288219935,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.00913335457153,501470.78125,20.616498947143555,0.0,-2.7720980839339626,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.00913335457153,501470.78125,20.616498947143555,0.0,-2.7720980839339626,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.02956767354772,501447.53125,20.67557716369629,0.0,-2.7738178645978513,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.02956767354772,501447.53125,20.67557716369629,0.0,-2.7738178645978513,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.05000189253042,501454.53125,20.667226791381836,0.0,-2.7733000811721644,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.05000189253042,501454.53125,20.667226791381836,0.0,-2.7733000811721644,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.0704361113967,501459.4375,20.675926208496094,0.0,-2.7729371704675536,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.0704361113967,501459.4375,20.675926208496094,0.0,-2.7729371704675536,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.09087033025571,501484.96875,20.663558959960938,0.0,-2.7710486478836867,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.09087033025571,501484.96875,20.663558959960938,0.0,-2.7710486478836867,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.111304549122,501505.875,20.66532325744629,0.0,-2.769502232206077,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.111304549122,501505.875,20.66532325744629,0.0,-2.769502232206077,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.13173876798828,501457.28125,20.640342712402344,0.0,-2.77309666625493,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.13173876798828,501457.28125,20.640342712402344,0.0,-2.77309666625493,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.15217288673011,501474.34375,20.672800064086914,0.0,-2.7718345691548185,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.15217288673011,501474.34375,20.672800064086914,0.0,-2.7718345691548185,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.17260720548074,501485.75,20.70836639404297,0.0,-2.770990859554927,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.17260720548074,501485.75,20.70836639404297,0.0,-2.770990859554927,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.19304142423061,501500.4375,20.687728881835938,0.0,-2.7699044389742444,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.19304142423061,501500.4375,20.687728881835938,0.0,-2.7699044389742444,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.21347554285603,501524.90625,20.693567276000977,0.0,-2.768094508517491,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.21347554285603,501524.90625,20.693567276000977,0.0,-2.768094508517491,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.23390986160666,501477.46875,20.674850463867188,0.0,-2.7716034158397798,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.23390986160666,501477.46875,20.674850463867188,0.0,-2.7716034158397798,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.25434408024012,501471.25,20.717248916625977,0.0,-2.772063410936707,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.25434408024012,501471.25,20.717248916625977,0.0,-2.772063410936707,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.27477819874912,501507.65625,20.709569931030273,0.0,-2.769370474816505,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.27477819874912,501507.65625,20.709569931030273,0.0,-2.769370474816505,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.29521241738257,501501.46875,20.684568405151367,0.0,-2.7698281583802817,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.29521241738257,501501.46875,20.684568405151367,0.0,-2.7698281583802817,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,121.31564673590037,501494.09375,20.68154525756836,0.0,-2.7703736802037735,False
