dataset,processing_method,visualization_method,pair,processing_time_sec,processing_memory_peak_mb,visualization_time_sec,visualization_memory_peak_mb,total_time_sec,status,error,input_file,output_file,rows_input,rows_after_cleaning,rows_output,objects,quarters,anomaly_rows,visualization_file,visualization_metadata_file,visualization_type,points_plotted,anomaly_points_plotted,rows_before_downsample
small,pandas,matplotlib,pandas + matplotlib,0.047403,106.781,0.103466,135.512,0.150869,success,,C:\Kelper\data\samples\kepler_small.parquet,C:\Kelper\results\processed\small_pandas_processed.parquet,12326,10534,2440,1,3,82,C:\Kelper\results\plots\small_pandas_matplotlib.png,,static_png,2440,82,
small,pandas,plotly,pandas + plotly,0.047403,106.781,0.202879,171.914,0.250282,success,,C:\Kelper\data\samples\kepler_small.parquet,C:\Kelper\results\processed\small_pandas_processed.parquet,12326,10534,2440,1,3,82,C:\Kelper\results\plots\small_pandas_plotly.html,,interactive_html,2440,82,
small,pandas,dash,pandas + dash,0.047403,106.781,0.010389,158.203,0.057792,success,,C:\Kelper\data\samples\kepler_small.parquet,C:\Kelper\results\processed\small_pandas_processed.parquet,12326,10534,2440,1,3,82,C:\Kelper\results\dash_data\small_pandas_dash_data.parquet,C:\Kelper\results\dash_data\small_pandas_dash_metadata.json,interactive_web_dashboard,2440,82,2440.0
small,dask,matplotlib,dask + matplotlib,0.717018,166.066,0.105675,177.93,0.822693,success,,C:\Kelper\data\samples\kepler_small.parquet,C:\Kelper\results\processed\small_dask_processed.parquet,12326,10534,2440,1,3,243,C:\Kelper\results\plots\small_dask_matplotlib.png,,static_png,2440,243,
small,dask,plotly,dask + plotly,0.717018,166.066,0.184607,204.586,0.901625,success,,C:\Kelper\data\samples\kepler_small.parquet,C:\Kelper\results\processed\small_dask_processed.parquet,12326,10534,2440,1,3,243,C:\Kelper\results\plots\small_dask_plotly.html,,interactive_html,2440,243,
small,dask,dash,dask + dash,0.717018,166.066,0.009949,207.32,0.726967,success,,C:\Kelper\data\samples\kepler_small.parquet,C:\Kelper\results\processed\small_dask_processed.parquet,12326,10534,2440,1,3,243,C:\Kelper\results\dash_data\small_dask_dash_data.parquet,C:\Kelper\results\dash_data\small_dask_dash_metadata.json,interactive_web_dashboard,2440,243,2440.0
small,spark,matplotlib,spark + matplotlib,6.521062,726.914,0.129249,742.637,6.650311,success,,C:\Kelper\data\samples\kepler_small.parquet,C:\Kelper\results\processed\small_spark_processed.parquet,12326,10534,2440,1,3,243,C:\Kelper\results\plots\small_spark_matplotlib.png,,static_png,2440,243,
small,spark,plotly,spark + plotly,6.521062,726.914,0.218606,768.43,6.739668,success,,C:\Kelper\data\samples\kepler_small.parquet,C:\Kelper\results\processed\small_spark_processed.parquet,12326,10534,2440,1,3,243,C:\Kelper\results\plots\small_spark_plotly.html,,interactive_html,2440,243,
small,spark,dash,spark + dash,6.521062,726.914,0.01648,771.391,6.537542,success,,C:\Kelper\data\samples\kepler_small.parquet,C:\Kelper\results\processed\small_spark_processed.parquet,12326,10534,2440,1,3,243,C:\Kelper\results\dash_data\small_spark_dash_data.parquet,C:\Kelper\results\dash_data\small_spark_dash_metadata.json,interactive_web_dashboard,2440,243,2440.0
medium,pandas,matplotlib,pandas + matplotlib,0.075827,195.145,0.097573,196.371,0.1734,success,,C:\Kelper\data\samples\kepler_medium.parquet,C:\Kelper\results\processed\medium_pandas_processed.parquet,103946,91028,20733,1,15,644,C:\Kelper\results\plots\medium_pandas_matplotlib.png,,static_png,5000,169,
